Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-8.10101801048795E-19,-1.04083408558608E-17,0.1,0,0,0,7.642304,0.0484345390421333,1.45169916660605E-18,2.16137297653739E-19,0.0484345390421333,-3.17637355220362E-19,0.0484345390421333,0,0,0,0,0,0,package://Gold_Ore/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://Gold_Ore/meshes/base_link.STL,,金矿-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RL1,0.10005,0.00581723028316519,0.0976600836697464,0,0,0,0.000786565268183331,5.71015728973582E-07,-2.05621648999241E-26,2.08812643293389E-26,3.2516827194627E-07,7.99126369453326E-08,2.45848767969425E-07,0,0,0,0,0,0,package://Gold_Ore/meshes/RL1.STL,1,1,1,1,0,0,0,0,0,0,package://Gold_Ore/meshes/RL1.STL,,R-1;边框1-5,base_link,Axis_RJ1,RJ1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Rl2,0.0023399163302537,0.00581723028316527,0.20005,0,0,0,0.000786565268183333,2.45848767969426E-07,-7.99126369453331E-08,1.32233710780069E-24,3.25168271946273E-07,2.30704065291368E-24,5.71015728973584E-07,0,0,0,0,0,0,package://Gold_Ore/meshes/Rl2.STL,1,1,1,1,0,0,0,0,0,0,package://Gold_Ore/meshes/Rl2.STL,,R-4;边框1-6,base_link,Axis_RJ2,RJ2,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RL3,-0.10005,0.00581723028316536,0.102339819819523,0,0,0,0.000786565268183319,5.71015728973581E-07,2.18257997121429E-23,5.41899122490334E-24,3.25168271946275E-07,-7.99126369453325E-08,2.4584876796942E-07,0,0,0,0,0,0,package://Gold_Ore/meshes/RL3.STL,1,1,1,1,0,0,0,0,0,0,package://Gold_Ore/meshes/RL3.STL,,R-5;边框1-3,base_link,Axis_RJ3,RJ3,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RL4,-0.00233991633025356,0.0058172302831652,-4.99999999999945E-05,0,0,0,0.00078656526818333,2.45848767969425E-07,7.99126369453323E-08,-1.28876700907517E-25,3.25168271946269E-07,1.39031426690225E-24,5.71015728973579E-07,0,0,0,0,0,0,package://Gold_Ore/meshes/RL4.STL,1,1,1,1,0,0,0,0,0,0,package://Gold_Ore/meshes/RL4.STL,,R-6;边框1-1,base_link,Axis_RJ4,RJ4,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RL5,7.14322161095516E-07,0.10005,0.100000714322161,0,0,0,0.000280000000000008,2.07335666666672E-08,1.02034946438058E-26,-3.6000000000001E-09,4.14666666666679E-08,-1.01821958387893E-27,2.07335666666673E-08,0,0,0,0,0,0,package://Gold_Ore/meshes/RL5.STL,1,1,1,1,0,0,0,0,0,0,package://Gold_Ore/meshes/RL5.STL,,边框2-1,base_link,Axis_RJ5,RJ5,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RL6,7.14322159722127E-07,-0.10005,0.10000071432216,0,0,0,0.000280000000000002,2.07335666666667E-08,-3.72463100301166E-24,-3.60000000000021E-09,4.14666666666668E-08,-4.51411010284433E-24,2.07335666666668E-08,0,0,0,0,0,0,package://Gold_Ore/meshes/RL6.STL,1,1,1,1,0,0,0,0,0,0,package://Gold_Ore/meshes/RL6.STL,,边框2-2,base_link,Axis_RJ6,RJ6,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
