Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0222587093089663,6.60897232716074E-19,-0.0145481760189322,0,0,0,7.642304,0.0484345390421333,5.32635579750595E-36,4.05902522986137E-19,0.0484345390421333,-1.43562501936272E-18,0.0484345390421333,0,0,0,0,0,0,package://Gold/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://Gold/meshes/base_link.STL,,金矿-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RL1,0.10049,0.076754,5E-05,0,0,0,0.00078657,2.4585E-07,-7.9913E-08,-2.0639E-26,3.2517E-07,-2.1766E-26,5.7102E-07,0,0,0,0,0,0,package://Gold/meshes/RL1.STL,0,0,0,1,0,0,0,0,0,0,package://Gold/meshes/RL1.STL,,R-1;边框1-5,Origin_RJ1,,RJ1,fixed,-0.12041,-0.1,-0.085485,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
Rl2,0.10049,-0.076754,-5E-05,0,0,0,0.00078657,2.4585E-07,7.9913E-08,-1.3223E-24,3.2517E-07,2.307E-24,5.7102E-07,0,0,0,0,0,0,package://Gold/meshes/Rl2.STL,0,0,0,1,0,0,0,0,0,0,package://Gold/meshes/Rl2.STL,,R-4;边框1-6,Origin_RJ2,,RJ2,fixed,-0.12226,0.098155,-0.085485,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
RL3,0.10049,0.076754,5E-05,0,0,0,0.00078657,2.4585E-07,-7.9913E-08,-5.419E-24,3.2517E-07,-2.1826E-23,5.7102E-07,0,0,0,0,0,0,package://Gold/meshes/RL3.STL,0,0,0,1,0,0,0,0,0,0,package://Gold/meshes/RL3.STL,,R-5;边框1-3,Origin_RJ3,,RJ3,fixed,0.075896,0.1,-0.085485,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
RL4,0.10049,0.076754,5E-05,0,0,0,0.00078657,2.4585E-07,-7.9913E-08,-1.2888E-25,3.2517E-07,-1.3903E-24,5.7102E-07,0,0,0,0,0,0,package://Gold/meshes/RL4.STL,0,0,0,1,0,0,0,0,0,0,package://Gold/meshes/RL4.STL,,R-6;边框1-1,Origin_RJ4,,RJ4,fixed,0.077741,-0.098155,-0.085485,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RL5,1.0408E-17,7.1432E-07,5E-05,0,0,0,0.00028,2.0734E-08,3.6E-09,-9.5019E-28,2.0734E-08,-1.0054E-26,4.1467E-08,0,0,0,0,0,0,package://Gold/meshes/RL5.STL,0,0,0,1,0,0,0,0,0,0,package://Gold/meshes/RL5.STL,,边框2-1,Origin_RJ5,,RJ5,fixed,-0.022259,0,0.085552,3.1416,0,0,base_link,0,0,0,,,,,,,,,,,,
RL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Gold/meshes/RL6.STL,0,0,0,1,0,0,0,0,0,0,package://Gold/meshes/RL6.STL,,边框2-2,Origin_RJ6,Axis_RJ6,RJ6,fixed,-0.0222594236311273,0,-0.114548176018932,-3.14159265358979,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
